,record_num,route_number,id,bearing,latitude,longitude,current_status,current_stop_sequence,direction_id,label,occupancy_status,speed,updated_at
0,1,1,y1904,130,42.36564053,-71.1041941,IN_TRANSIT_TO,7.0,1,1904,MANY_SEATS_AVAILABLE,,2022-03-27 00:59:00
1,2,1,y1863,110,42.34666035,-71.09180578,IN_TRANSIT_TO,,1,1863,FEW_SEATS_AVAILABLE,,2022-03-27 00:59:03
2,3,1,y1729,0,42.37297454,-71.11787044,IN_TRANSIT_TO,1.0,1,1729,,,2022-03-27 00:55:55
3,4,1,y1725,126,42.35916547,-71.09360797,IN_TRANSIT_TO,10.0,1,1725,MANY_SEATS_AVAILABLE,,2022-03-27 00:59:10
4,5,1,y1904,0,42.36082037,-71.09631716,IN_TRANSIT_TO,9.0,1,1904,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:03
5,6,1,y1863,0,42.34296925,-71.08527452,IN_TRANSIT_TO,14.0,1,1863,MANY_SEATS_AVAILABLE,,2022-03-27 01:04:02
6,7,1,y1729,0,42.37297454,-71.11787044,IN_TRANSIT_TO,1.0,1,1729,,,2022-03-27 01:00:55
7,8,1,y1725,0,42.3491988,-71.09062809,IN_TRANSIT_TO,12.0,1,1725,MANY_SEATS_AVAILABLE,,2022-03-27 01:04:59
8,9,1,y1904,0,42.36082037,-71.09631716,IN_TRANSIT_TO,9.0,1,1904,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:03
9,10,1,y1863,0,42.34296925,-71.08527452,IN_TRANSIT_TO,14.0,1,1863,MANY_SEATS_AVAILABLE,,2022-03-27 01:04:02
10,11,1,y1729,0,42.37297454,-71.11787044,IN_TRANSIT_TO,1.0,1,1729,,,2022-03-27 01:00:55
11,12,1,y1725,0,42.3491988,-71.09062809,IN_TRANSIT_TO,12.0,1,1725,MANY_SEATS_AVAILABLE,,2022-03-27 01:04:59
12,13,1,y1904,0,42.36082037,-71.09631716,IN_TRANSIT_TO,9.0,1,1904,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:03
13,14,1,y1863,132,42.34285815,-71.0851423,IN_TRANSIT_TO,14.0,1,1863,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:11
14,15,1,y1729,0,42.37297454,-71.11787044,IN_TRANSIT_TO,1.0,1,1729,,,2022-03-27 01:00:55
15,16,1,y1725,271,42.34919626,-71.09064931,IN_TRANSIT_TO,12.0,1,1725,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:08
16,17,1,y1904,129,42.36076573,-71.09619771,IN_TRANSIT_TO,9.0,1,1904,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:15
17,18,1,y1863,140,42.34264133,-71.08484706,IN_TRANSIT_TO,14.0,1,1863,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:17
18,19,1,y1729,0,42.37297454,-71.11787044,IN_TRANSIT_TO,1.0,1,1729,,,2022-03-27 01:00:55
19,20,1,y1725,247,42.34914366,-71.09143814,IN_TRANSIT_TO,12.0,1,1725,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:22
20,21,1,y1904,128,42.36065509,-71.09572974,IN_TRANSIT_TO,9.0,1,1904,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:26
21,22,1,y1863,0,42.3425918,-71.08483598,IN_TRANSIT_TO,14.0,1,1863,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:33
22,23,1,y1729,0,42.37297454,-71.11787044,IN_TRANSIT_TO,1.0,1,1729,,,2022-03-27 01:00:55
23,24,1,y1725,0,42.34915187,-71.09144484,IN_TRANSIT_TO,12.0,1,1725,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:31
24,25,1,y1904,126,42.35991591,-71.09445947,IN_TRANSIT_TO,9.0,1,1904,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:44
25,26,1,y1863,0,42.3425918,-71.08483598,IN_TRANSIT_TO,14.0,1,1863,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:33
26,27,1,y1729,0,42.37296212,-71.11782131,IN_TRANSIT_TO,1.0,1,1729,,,2022-03-27 01:05:41
27,28,1,y1725,270,42.34913,-71.09137,IN_TRANSIT_TO,12.0,1,1725,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:31
28,29,1,y1904,138,42.35937482,-71.09383042,IN_TRANSIT_TO,10.0,1,1904,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:50
29,30,1,y1863,0,42.34253973,-71.08479844,IN_TRANSIT_TO,14.0,1,1863,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:51
30,31,1,y1729,287,42.37300524,-71.11794087,IN_TRANSIT_TO,1.0,1,1729,,,2022-03-27 01:05:50
31,32,1,y1725,270,42.34913,-71.09137,IN_TRANSIT_TO,12.0,1,1725,MANY_SEATS_AVAILABLE,,2022-03-27 01:05:31
32,33,1,y1904,147,42.35840864,-71.09301177,IN_TRANSIT_TO,10.0,1,1904,MANY_SEATS_AVAILABLE,,2022-03-27 01:06:03
